Video Title,Piano Title, Song URL,Piano Cover URL
Adele - Hello (Official Music Video),Adele - Hello | Piano Cover by Pianella Piano,YQHsXMglC9A,13EIb6xJAD4
Adele - Hello (Official Music Video),"""Hello"" - Adele (Piano Cover) - Costantino Carrara",YQHsXMglC9A,BM7Jkwqzdts
Adele - Hello (Official Music Video),Hello - Adele - Piano Cover Video by YourPianoCover,YQHsXMglC9A,-u6Nx_tMBfI
Adele - Hello (Official Music Video),Hello - Adele (Boyce Avenue piano acoustic cover) on Spotify & Apple,YQHsXMglC9A,LWgqWuJG5Jg
Adele - Hello (Official Music Video),Adele - Hello (HQ piano cover),YQHsXMglC9A,9TMVAjeqrhM
Adele - Rolling in the Deep (Official Music Video),Adele - Rolling in the Deep | Piano Cover by Pianella Piano,rYEDA3JcQqw,gKooKVUwpwo
Adele - Rolling in the Deep (Official Music Video),Adele - Rolling In The Deep (Piano Cover),rYEDA3JcQqw,HXgAx3VnJi0
Adele - Rolling in the Deep (Official Music Video),Adele - Rolling in the Deep (Piano/Cello Cover) - The Piano Guys,rYEDA3JcQqw,lUjWJSnGVB0
Adele - Rolling in the Deep (Official Music Video),ROLLING IN THE DEEP - ADELE | Piano Version,rYEDA3JcQqw,UUWBbqrX7fI
Adele - Rolling in the Deep (Official Music Video),Adele - Rolling in the Deep | Piano Cover by Pianistmiri,rYEDA3JcQqw,WqawHzWP1Rw
Adele - Someone Like You (Official Music Video),Adele - Someone Like You (Piano Cover by Riyandi Kusuma),hLQl3WQQoQ0,LhPZzo8apa0
Adele - Someone Like You (Official Music Video),Adele - Someone Like You | Piano Cover by Pianella Piano,hLQl3WQQoQ0,z5pW-WSScNw
Adele - Someone Like You (Official Music Video),Someone Like You - Adele Piano Cover - Music Video,hLQl3WQQoQ0,sQEiW0BJmK8
Adele - Someone Like You (Official Music Video),Adele - Someone Like You - (piano cover),hLQl3WQQoQ0,if8epsj52Gw
Adele - Send My Love (To Your New Lover),Adele (25) - Send My Love (To Your New Lover) Piano Cover,fk4BbF7B29w,O9EpSwKJ3lg
Adele - Send My Love (To Your New Lover),Adele 25 - Send My Love (To Your New Lover) Piano Cover,fk4BbF7B29w,RMY0BMmUr60
Adele - Send My Love (To Your New Lover),Adele -  Send My Love (To Your New Lover) - Piano Cover,fk4BbF7B29w,DLuWwk_uSxc
Adele - Send My Love (To Your New Lover),Adele- Send My Love (To Your New Lover)  (Piano Cover),fk4BbF7B29w,--_eaVCGaBs
Adele - Easy On Me (Official Video),Adele - Easy On Me (Piano Cover by Riyandi Kusuma),U3ASj1L6_sY,K8a0at_zWpk
Adele - Easy On Me (Official Video),Easy On Me - Adele (Piano cover by Emily Linge),U3ASj1L6_sY,Gid1YshxrqU
Adele - Easy On Me (Official Video),Adele - Easy On Me (HQ piano cover),U3ASj1L6_sY,rCNww1kRaJo
Adele - Easy On Me (Official Video),EASY ON ME - ADELE | Piano Version,U3ASj1L6_sY,VjOYEahCvdE
Adele - Chasing Pavements (Official Music Video),Chasing Pavements (Piano Cover) - Adele,08DjMT-qR9g,x9JLeSt0fzE
Adele - Chasing Pavements (Official Music Video),Adele - Chasing Pavements | EASY Piano Tutorial,08DjMT-qR9g,HNMRi7_Ub4U
Adele - Chasing Pavements (Official Music Video),Chasing Pavements - Adele [Piano Tutorial],08DjMT-qR9g,Ze0DpDyOCnU
Adele - Hometown Glory (Official Music Video),Hometown Glory - Adele [Piano Tutorial],BW9Fzwuf43c,MM3nZzhqV3c
Adele - Hometown Glory (Official Music Video),Hometown Glory - Adele (piano cover),BW9Fzwuf43c,wWwVIUnljcY
Adele - Hometown Glory (Official Music Video),Short Piano Cover: Hometown Glory - Adele,BW9Fzwuf43c,5XqsStuxTXY
Adele - Hometown Glory (Official Music Video),"""Hometown Glory"" by Adele - Piano Tutorial",BW9Fzwuf43c,5sapau6dMo8
Adele - Hometown Glory (Official Music Video),How to play HOMETOWN GLORY - Adele Piano Chords Accompaniment Tutorial,BW9Fzwuf43c,XBTVAfAl4As
