Artist,Channel Link
Adele,https://www.youtube.com/@adele/videos
Charlie Puth,https://www.youtube.com/@charlieputh/videos
Justin Bieber,https://www.youtube.com/@justinbieber/videos
Ariana Grande,https://www.youtube.com/@ArianaGrande/videos
Bruno Mars,https://www.youtube.com/@brunomars/videos
Taylor Swift,https://www.youtube.com/@TaylorSwift/videos
The Weeknd,https://www.youtube.com/@TheWeeknd/videos
Blackpink,https://www.youtube.com/@BLACKPINK/videos
Sza,https://www.youtube.com/@sza/videos
Maroon5,https://www.youtube.com/@Maroon5/videos
Ed Sheeran,https://www.youtube.com/@EdSheeran/videos
Shawn Mendes,https://www.youtube.com/@shawnmendes/videos
John Legend,https://www.youtube.com/@johnlegend/videos
Camila Cabello,https://www.youtube.com/@camilacabello/videos
